CountryCode;Language;IsOfficial;Percentage
ABW;Dutch;T;5,30
ABW;English;F;9,50
ABW;Papiamento;F;76,70
ABW;Spanish;F;7,40
AFG;Balochi;F;0,90
AFG;Dari;T;32,10
AFG;Pashto;T;52,40
AFG;Turkmenian;F;1,90
AFG;Uzbek;F;8,80
AGO;Ambo;F;2,40
AGO;Chokwe;F;4,20
AGO;Kongo;F;13,20
AGO;Luchazi;F;2,40
AGO;Luimbe-nganguela;F;5,40
AGO;Luvale;F;3,60
AGO;Mbundu;F;21,60
AGO;Nyaneka-nkhumbi;F;5,40
AGO;Ovimbundu;F;37,20
AIA;English;T;0,00
ALB;Albaniana;T;97,90
ALB;Greek;F;1,80
ALB;Macedonian;F;0,10
AND;Catalan;T;32,30
AND;French;F;6,20
AND;Portuguese;F;10,80
AND;Spanish;F;44,60
ANT;Dutch;T;0,00
ANT;English;F;7,80
ANT;Papiamento;T;86,20
ARE;Arabic;T;42,00
ARE;Hindi;F;0,00
ARG;Indian Languages;F;0,30
ARG;Italian;F;1,70
ARG;Spanish;T;96,80
ARM;Armenian;T;93,40
ARM;Azerbaijani;F;2,60
ASM;English;T;3,10
ASM;Samoan;T;90,60
ASM;Tongan;F;3,10
ATG;Creole English;F;95,70
ATG;English;T;0,00
AUS;Arabic;F;1,00
AUS;Canton Chinese;F;1,10
AUS;English;T;81,20
AUS;German;F;0,60
AUS;Greek;F;1,60
AUS;Italian;F;2,20
AUS;Serbo-Croatian;F;0,60
AUS;Vietnamese;F;0,80
AUT;Czech;F;0,20
AUT;German;T;92,00
AUT;Hungarian;F;0,40
AUT;Polish;F;0,20
AUT;Romanian;F;0,20
AUT;Serbo-Croatian;F;2,20
AUT;Slovene;F;0,40
AUT;Turkish;F;1,50
AZE;Armenian;F;2,00
AZE;Azerbaijani;T;89,00
AZE;Lezgian;F;2,30
AZE;Russian;F;3,00
BDI;French;T;0,00
BDI;Kirundi;T;98,10
BDI;Swahili;F;0,00
BEL;Arabic;F;1,60
BEL;Dutch;T;59,20
BEL;French;T;32,60
BEL;German;T;1,00
BEL;Italian;F;2,40
BEL;Turkish;F;0,90
BEN;Adja;F;11,10
BEN;Aizo;F;8,70
BEN;Bariba;F;8,70
BEN;Fon;F;39,80
BEN;Ful;F;5,60
BEN;Joruba;F;12,20
BEN;Somba;F;6,70
BFA;Busansi;F;3,50
BFA;Dagara;F;3,10
BFA;Dyula;F;2,60
BFA;Ful;F;9,70
BFA;Gurma;F;5,70
BFA;Mossi;F;50,20
BGD;Bengali;T;97,70
BGD;Chakma;F;0,40
BGD;Garo;F;0,10
BGD;Khasi;F;0,10
BGD;Marma;F;0,20
BGD;Santhali;F;0,10
BGD;Tripuri;F;0,10
BGR;Bulgariana;T;83,20
BGR;Macedonian;F;2,60
BGR;Romani;F;3,70
BGR;Turkish;F;9,40
BHR;Arabic;T;67,70
BHR;English;F;0,00
BHS;Creole English;F;89,70
BHS;Creole French;F;10,30
BIH;Serbo-Croatian;T;99,20
BLR;Belorussian;T;65,60
BLR;Polish;F;0,60
BLR;Russian;T;32,00
BLR;Ukrainian;F;1,30
BLZ;English;T;50,80
BLZ;Garifuna;F;6,80
BLZ;Maya Languages;F;9,60
BLZ;Spanish;F;31,60
BMU;English;T;100,00
BOL;Aimarб;T;3,20
BOL;Guaranн;F;0,10
BOL;Ketљua;T;8,10
BOL;Spanish;T;87,70
BRA;German;F;0,50
BRA;Indian Languages;F;0,20
BRA;Italian;F;0,40
BRA;Japanese;F;0,40
BRA;Portuguese;T;97,50
BRB;Bajan;F;95,10
BRB;English;T;0,00
BRN;Chinese;F;9,30
BRN;English;F;3,10
BRN;Malay;T;45,50
BRN;Malay-English;F;28,80
BTN;Asami;F;15,20
BTN;Dzongkha;T;50,00
BTN;Nepali;F;34,80
BWA;Khoekhoe;F;2,50
BWA;Ndebele;F;1,30
BWA;San;F;3,50
BWA;Shona;F;12,30
BWA;Tswana;F;75,50
CAF;Banda;F;23,50
CAF;Gbaya;F;23,80
CAF;Mandjia;F;14,80
CAF;Mbum;F;6,40
CAF;Ngbaka;F;7,50
CAF;Sara;F;6,40
CAN;Chinese;F;2,50
CAN;Dutch;F;0,50
CAN;English;T;60,40
CAN;Eskimo Languages;F;0,10
CAN;French;T;23,40
CAN;German;F;1,60
CAN;Italian;F;1,70
CAN;Polish;F;0,70
CAN;Portuguese;F;0,70
CAN;Punjabi;F;0,70
CAN;Spanish;F;0,70
CAN;Ukrainian;F;0,60
CCK;English;T;0,00
CCK;Malay;F;0,00
CHE;French;T;19,20
CHE;German;T;63,60
CHE;Italian;T;7,70
CHE;Romansh;T;0,60
CHL;Aimarб;F;0,50
CHL;Araucan;F;9,60
CHL;Rapa nui;F;0,20
CHL;Spanish;T;89,70
CHN;Chinese;T;92,00
CHN;Dong;F;0,20
CHN;Hui;F;0,80
CHN;Mantљu;F;0,90
CHN;Miao;F;0,70
CHN;Mongolian;F;0,40
CHN;Puyi;F;0,20
