КодЗаказа|ДатаРазмещения|Стоимость|СтранаПолучателя|Марка|Категория|странаПоставщика|КодСотрудника
10273|5.8.1996 0:00:00|5654,39|Германия|Guarana Fantastica|Напитки|Бразилия|3
10276|8.8.1996 0:00:00|3720,00|Мексика|Guarana Fantastica|Напитки|Бразилия|8
10357|19.11.1996 0:00:00|5951,99|Венесуэлла|Guarana Fantastica|Напитки|Бразилия|1
10389|20.12.1996 0:00:00|3968,00|Канада|Guarana Fantastica|Напитки|Бразилия|4
10449|18.2.1997 0:00:00|3472,00|Франция|Guarana Fantastica|Напитки|Бразилия|3
10450|19.2.1997 0:00:00|3967,99|Франция|Guarana Fantastica|Напитки|Бразилия|8
10478|18.3.1997 0:00:00|4711,99|Франция|Guarana Fantastica|Напитки|Бразилия|2
10519|28.4.1997 0:00:00|4711,99|Швейцария|Guarana Fantastica|Напитки|Бразилия|6
10524|1.5.1997 0:00:00|620,00|Германия|Guarana Fantastica|Напитки|Бразилия|1
10568|13.6.1997 0:00:00|1550,00|Испания|Guarana Fantastica|Напитки|Бразилия|3
10609|24.7.1997 0:00:00|3100,00|Франция|Guarana Fantastica|Напитки|Бразилия|7
10612|28.7.1997 0:00:00|21700,00|США|Guarana Fantastica|Напитки|Бразилия|1
10646|27.8.1997 0:00:00|4185,00|Ирландия|Guarana Fantastica|Напитки|Бразилия|9
10664|10.9.1997 0:00:00|6323,99|Португалия|Guarana Fantastica|Напитки|Бразилия|1
10676|22.9.1997 0:00:00|620,00|Мексика|Guarana Fantastica|Напитки|Бразилия|2
10685|29.9.1997 0:00:00|6200,00|Бразилия|Guarana Fantastica|Напитки|Бразилия|4
10688|1.10.1997 0:00:00|5021,99|Дания|Guarana Fantastica|Напитки|Бразилия|4
10713|22.10.1997 0:00:00|5580,00|США|Guarana Fantastica|Напитки|Бразилия|1
10715|23.10.1997 0:00:00|6510,00|Франция|Guarana Fantastica|Напитки|Бразилия|3
10724|30.10.1997 0:00:00|4960,00|Канада|Guarana Fantastica|Напитки|Бразилия|8
10775|12.12.1997 0:00:00|1860,00|США|Guarana Fantastica|Напитки|Бразилия|7
10785|18.12.1997 0:00:00|3100,00|Венесуэлла|Guarana Fantastica|Напитки|Бразилия|1
10804|30.12.1997 0:00:00|11160,00|Великобритания|Guarana Fantastica|Напитки|Бразилия|6
10827|12.1.1998 0:00:00|4650,00|Франция|Guarana Fantastica|Напитки|Бразилия|1
10841|20.1.1998 0:00:00|4960,00|Бельгия|Guarana Fantastica|Напитки|Бразилия|5
10854|27.1.1998 0:00:00|26349,99|Австрия|Guarana Fantastica|Напитки|Бразилия|3
10874|6.2.1998 0:00:00|3100,00|Испания|Guarana Fantastica|Напитки|Бразилия|5
10886|13.2.1998 0:00:00|21700,00|Бразилия|Guarana Fantastica|Напитки|Бразилия|1
10924|4.3.1998 0:00:00|5579,99|Швеция|Guarana Fantastica|Напитки|Бразилия|3
10946|12.3.1998 0:00:00|7750,00|Дания|Guarana Fantastica|Напитки|Бразилия|1
10949|13.3.1998 0:00:00|9300,00|Канада|Guarana Fantastica|Напитки|Бразилия|2
11020|14.4.1998 0:00:00|6323,99|Германия|Guarana Fantastica|Напитки|Бразилия|2
11077|6.5.1998 0:00:00|310,00|США|Guarana Fantastica|Напитки|Бразилия|1
10259|18.7.1996 0:00:00|800,00|Мексика|Laughing Lumberjack Lager|Напитки|США|4
10261|19.7.1996 0:00:00|1600,00|Бразилия|Laughing Lumberjack Lager|Напитки|США|4
10263|23.7.1996 0:00:00|28350,00|Австрия|Laughing Lumberjack Lager|Напитки|США|9
10333|18.10.1996 0:00:00|719,99|Финляндия|Laughing Lumberjack Lager|Напитки|США|5
10368|29.11.1996 0:00:00|359,99|Австрия|Laughing Lumberjack Lager|Напитки|США|2
10397|27.12.1996 0:00:00|679,99|Португалия|Laughing Lumberjack Lager|Напитки|США|5
10406|7.1.1997 0:00:00|2159,99|Бразилия|Laughing Lumberjack Lager|Напитки|США|7
10409|9.1.1997 0:00:00|960,00|Аргентина|Laughing Lumberjack Lager|Напитки|США|3
10430|30.1.1997 0:00:00|4000,00|Австрия|Laughing Lumberjack Lager|Напитки|США|4
10456|25.2.1997 0:00:00|2719,99|Германия|Laughing Lumberjack Lager|Напитки|США|8
10461|28.2.1997 0:00:00|2400,00|Венесуэлла|Laughing Lumberjack Lager|Напитки|США|1
10477|17.3.1997 0:00:00|1260,00|Португалия|Laughing Lumberjack Lager|Напитки|США|5
10484|24.3.1997 0:00:00|1120,00|Великобритания|Laughing Lumberjack Lager|Напитки|США|3
10504|11.4.1997 0:00:00|1200,00|США|Laughing Lumberjack Lager|Напитки|США|4
10513|22.4.1997 0:00:00|3199,99|Германия|Laughing Lumberjack Lager|Напитки|США|7
10539|16.5.1997 0:00:00|1500,00|Великобритания|Laughing Lumberjack Lager|Напитки|США|6
10550|28.5.1997 0:00:00|539,99|Испания|Laughing Lumberjack Lager|Напитки|США|7
10609|24.7.1997 0:00:00|600,00|Франция|Laughing Lumberjack Lager|Напитки|США|7
10614|29.7.1997 0:00:00|800,00|Германия|Laughing Lumberjack Lager|Напитки|США|8
10619|4.8.1997 0:00:00|4200,00|Канада|Laughing Lumberjack Lager|Напитки|США|3
10623|7.8.1997 0:00:00|2249,99|Германия|Laughing Lumberjack Lager|Напитки|США|8
10642|22.8.1997 0:00:00|2399,99|Дания|Laughing Lumberjack Lager|Напитки|США|7
10658|5.9.1997 0:00:00|6000,00|Германия|Laughing Lumberjack Lager|Напитки|США|4
10681|25.9.1997 0:00:00|1079,99|США|Laughing Lumberjack Lager|Напитки|США|3
10716|24.10.1997 0:00:00|500,00|Аргентина|Laughing Lumberjack Lager|Напитки|США|4
10717|24.10.1997 0:00:00|3039,99|Германия|Laughing Lumberjack Lager|Напитки|США|1
10729|4.11.1997 0:00:00|3000,00|Венесуэлла|Laughing Lumberjack Lager|Напитки|США|8
10731|6.11.1997 0:00:00|3799,99|Швейцария|Laughing Lumberjack Lager|Напитки|США|7
10763|3.12.1997 0:00:00|4000,00|Франция|Laughing Lumberjack Lager|Напитки|США|3
10861|30.1.1998 0:00:00|4000,00|США|Laughing Lumberjack Lager|Напитки|США|4
10873|6.2.1998 0:00:00|2000,00|Финляндия|Laughing Lumberjack Lager|Напитки|США|4
10884|12.2.1998 0:00:00|3799,99|США|Laughing Lumberjack Lager|Напитки|США|4
10929|5.3.1998 0:00:00|6000,00|Германия|Laughing Lumberjack Lager|Напитки|США|6
10930|6.3.1998 0:00:00|3600,00|Бельгия|Laughing Lumberjack Lager|Напитки|США|4
10956|17.3.1998 0:00:00|1200,00|Германия|Laughing Lumberjack Lager|Напитки|США|6
10978|26.3.1998 0:00:00|3399,99|Бельгия|Laughing Lumberjack Lager|Напитки|США|9
10990|1.4.1998 0:00:00|6500,00|Австрия|Laughing Lumberjack Lager|Напитки|США|2
11034|20.4.1998 0:00:00|1349,99|США|Laughing Lumberjack Lager|Напитки|США|8
11040|22.4.1998 0:00:00|2000,00|США|Laughing Lumberjack Lager|Напитки|США|4
11058|29.4.1998 0:00:00|300,00|Германия|Laughing Lumberjack Lager|Напитки|США|9
10254|11.7.1996 0:00:00|458,99|Швейцария|Outback Lager|Напитки|Австралия|5
10275|7.8.1996 0:00:00|410,39|Италия|Outback Lager|Напитки|Австралия|1
10280|14.8.1996 0:00:00|432,00|Швеция|Outback Lager|Напитки|Австралия|2
10281|14.8.1996 0:00:00|216,00|Испания|Outback Lager|Напитки|Австралия|4
10293|29.8.1996 0:00:00|360,00|Мексика|Outback Lager|Напитки|Австралия|1
10352|12.11.1996 0:00:00|360,00|Португалия|Outback Lager|Напитки|Австралия|3
10355|15.11.1996 0:00:00|900,00|Великобритания|Outback Lager|Напитки|Австралия|6
10358|20.11.1996 0:00:00|341,99|Франция|Outback Lager|Напитки|Австралия|5
10386|18.12.1996 0:00:00|540,00|Бразилия|Outback Lager|Напитки|Австралия|9
10387|18.12.1996 0:00:00|540,00|Норвегия|Outback Lager|Напитки|Австралия|1
10446|14.2.1997 0:00:00|647,99|Германия|Outback Lager|Напитки|Австралия|6
10465|5.3.1997 0:00:00|900,00|Дания|Outback Lager|Напитки|Австралия|1
10467|6.3.1997 0:00:00|1008,00|Италия|Outback Lager|Напитки|Австралия|8
10472|12.3.1997 0:00:00|2735,99|Великобритания|Outback Lager|Напитки|Австралия|8
10498|7.4.1997 0:00:00|630,00|Венесуэлла|Outback Lager|Напитки|Австралия|8
10512|21.4.1997 0:00:00|382,49|Бразилия|Outback Lager|Напитки|Австралия|7
10518|25.4.1997 0:00:00|225,00|Мексика|Outback Lager|Напитки|Австралия|4
10520|29.4.1997 0:00:00|360,00|Норвегия|Outback Lager|Напитки|Австралия|7
10541|19.5.1997 0:00:00|1417,49|Бразилия|Outback Lager|Напитки|Австралия|2
10555|2.6.1997 0:00:00|647,99|США|Outback Lager|Напитки|Австралия|6
10565|11.6.1997 0:00:00|1012,49|Канада|Outback Lager|Напитки|Австралия|8
