"КодЗаказа";"ДатаИсполнения";"стоимость";"СтранаПолучателя";"Марка";"Категория";"странаПоставщика";"КодСотрудника"
10273;12.8.1996 0:00:00;5654,39;"Германия";"Guarana Fantastica";"Напитки";"Бразилия";3
10276;14.8.1996 0:00:00;3720,00;"Мексика";"Guarana Fantastica";"Напитки";"Бразилия";8
10357;2.12.1996 0:00:00;5951,99;"Венесуэлла";"Guarana Fantastica";"Напитки";"Бразилия";1
10389;24.12.1996 0:00:00;3968,00;"Канада";"Guarana Fantastica";"Напитки";"Бразилия";4
10449;27.2.1997 0:00:00;3472,00;"Франция";"Guarana Fantastica";"Напитки";"Бразилия";3
10450;11.3.1997 0:00:00;3967,99;"Франция";"Guarana Fantastica";"Напитки";"Бразилия";8
10478;26.3.1997 0:00:00;4711,99;"Франция";"Guarana Fantastica";"Напитки";"Бразилия";2
10519;1.5.1997 0:00:00;4711,99;"Швейцария";"Guarana Fantastica";"Напитки";"Бразилия";6
10524;7.5.1997 0:00:00;620,00;"Германия";"Guarana Fantastica";"Напитки";"Бразилия";1
10568;9.7.1997 0:00:00;1550,00;"Испания";"Guarana Fantastica";"Напитки";"Бразилия";3
10609;30.7.1997 0:00:00;3100,00;"Франция";"Guarana Fantastica";"Напитки";"Бразилия";7
10612;1.8.1997 0:00:00;21700,00;"США";"Guarana Fantastica";"Напитки";"Бразилия";1
10646;3.9.1997 0:00:00;4185,00;"Ирландия";"Guarana Fantastica";"Напитки";"Бразилия";9
10664;19.9.1997 0:00:00;6323,99;"Португалия";"Guarana Fantastica";"Напитки";"Бразилия";1
10676;29.9.1997 0:00:00;620,00;"Мексика";"Guarana Fantastica";"Напитки";"Бразилия";2
10685;3.10.1997 0:00:00;6200,00;"Бразилия";"Guarana Fantastica";"Напитки";"Бразилия";4
10688;7.10.1997 0:00:00;5021,99;"Дания";"Guarana Fantastica";"Напитки";"Бразилия";4
10713;24.10.1997 0:00:00;5580,00;"США";"Guarana Fantastica";"Напитки";"Бразилия";1
10715;29.10.1997 0:00:00;6510,00;"Франция";"Guarana Fantastica";"Напитки";"Бразилия";3
10724;5.11.1997 0:00:00;4960,00;"Канада";"Guarana Fantastica";"Напитки";"Бразилия";8
10775;26.12.1997 0:00:00;1860,00;"США";"Guarana Fantastica";"Напитки";"Бразилия";7
10785;24.12.1997 0:00:00;3100,00;"Венесуэлла";"Guarana Fantastica";"Напитки";"Бразилия";1
10804;7.1.1998 0:00:00;11160,00;"Великобритания";"Guarana Fantastica";"Напитки";"Бразилия";6
10827;6.2.1998 0:00:00;4650,00;"Франция";"Guarana Fantastica";"Напитки";"Бразилия";1
10841;29.1.1998 0:00:00;4960,00;"Бельгия";"Guarana Fantastica";"Напитки";"Бразилия";5
10854;5.2.1998 0:00:00;26349,99;"Австрия";"Guarana Fantastica";"Напитки";"Бразилия";3
10874;11.2.1998 0:00:00;3100,00;"Испания";"Guarana Fantastica";"Напитки";"Бразилия";5
10886;2.3.1998 0:00:00;21700,00;"Бразилия";"Guarana Fantastica";"Напитки";"Бразилия";1
10924;8.4.1998 0:00:00;5579,99;"Швеция";"Guarana Fantastica";"Напитки";"Бразилия";3
10946;19.3.1998 0:00:00;7750,00;"Дания";"Guarana Fantastica";"Напитки";"Бразилия";1
